batch,bits,block_k,block_m,block_n,cols,dense_full_ms,dense_selected_ms,high_rows,latency_ms,low_rows,model,module,ok,rel_l2_vs_dense_selected,rows,runtime,selected_rows,speedup_vs_dense_full,speedup_vs_dense_selected
12,8,128,32,16,1024,0.016255175000168265,0.021756275000228698,16,0.03849900000005846,0,Qwen/Qwen3-0.6B,model.layers.0.self_attn.v_proj,True,0.00741916336119175,1024,triton_selected,16,0.4222233045051451,0.5651127302058667
12,8,,,,1024,0.016255175000168265,0.014063875000047688,64,0.016255175000168265,0,Qwen/Qwen3-0.6B,model.layers.0.self_attn.v_proj,True,0.0,1024,dense_full,64,1.0,0.8651936998464862
12,8,,,,1024,0.016255175000168265,0.014063875000047688,64,0.014063875000047688,0,Qwen/Qwen3-0.6B,model.layers.0.self_attn.v_proj,True,0.0,1024,dense_selected,64,1.1558105429771772,1.0
12,8,,,,1024,0.016255175000168265,0.014063875000047688,64,0.013661737499859328,0,Qwen/Qwen3-0.6B,model.layers.0.self_attn.v_proj,True,0.008624338544905186,1024,cached_selected,64,1.189832186450343,1.0294353115914063
12,8,128,32,16,1024,0.016255175000168265,0.014063875000047688,64,0.1335140249999256,0,Qwen/Qwen3-0.6B,model.layers.0.self_attn.v_proj,True,0.008624338544905186,1024,triton_selected,64,0.12174882002229596,0.1053363120470342
12,8,,,,1024,0.016255175000168265,0.08673489999999617,256,0.016255175000168265,0,Qwen/Qwen3-0.6B,model.layers.0.self_attn.v_proj,True,0.0,1024,dense_full,256,1.0,5.335833050034733
12,8,,,,1024,0.016255175000168265,0.08673489999999617,256,0.08673489999999617,0,Qwen/Qwen3-0.6B,model.layers.0.self_attn.v_proj,True,0.0,1024,dense_selected,256,0.18741216050481388,1.0
12,8,,,,1024,0.016255175000168265,0.08673489999999617,256,0.07444627499992862,0,Qwen/Qwen3-0.6B,model.layers.0.self_attn.v_proj,True,0.008218183182179928,1024,cached_selected,256,0.2183477279445325,1.1650670231664289
12,8,128,32,16,1024,0.016255175000168265,0.08673489999999617,256,0.04367648750012165,0,Qwen/Qwen3-0.6B,model.layers.0.self_attn.v_proj,True,0.008196272887289524,1024,triton_selected,256,0.37217221279808704,1.9858487933525926
64,8,,,,1024,0.027552675000208637,0.028364837499950113,16,0.027552675000208637,0,Qwen/Qwen3-0.6B,model.layers.0.self_attn.v_proj,True,0.0,1024,dense_full,16,1.0,1.029476720490309
64,8,,,,1024,0.027552675000208637,0.028364837499950113,16,0.028364837499950113,0,Qwen/Qwen3-0.6B,model.layers.0.self_attn.v_proj,True,0.0,1024,dense_selected,16,0.9713672782457187,1.0
64,8,,,,1024,0.027552675000208637,0.028364837499950113,16,0.02273763749975899,0,Qwen/Qwen3-0.6B,model.layers.0.self_attn.v_proj,True,0.008031872101128101,1024,cached_selected,16,1.2117650745597772,1.2474839349624942
64,8,128,32,16,1024,0.027552675000208637,0.028364837499950113,16,0.03939744999996719,0,Qwen/Qwen3-0.6B,model.layers.0.self_attn.v_proj,True,0.008010540157556534,1024,triton_selected,16,0.6993517346993671,0.7199663303075131
64,8,,,,1024,0.027552675000208637,0.01936597499998527,64,0.027552675000208637,0,Qwen/Qwen3-0.6B,model.layers.0.self_attn.v_proj,True,0.0,1024,dense_full,64,1.0,0.7028709553551016
64,8,,,,1024,0.027552675000208637,0.01936597499998527,64,0.01936597499998527,0,Qwen/Qwen3-0.6B,model.layers.0.self_attn.v_proj,True,0.0,1024,dense_selected,64,1.4227362681315863,1.0
64,8,,,,1024,0.027552675000208637,0.01936597499998527,64,0.017604499999990253,0,Qwen/Qwen3-0.6B,model.layers.0.self_attn.v_proj,True,0.008355229161679745,1024,cached_selected,64,1.5650927319846568,1.100058223749382
64,8,128,32,16,1024,0.027552675000208637,0.01936597499998527,64,0.04336549999983674,0,Qwen/Qwen3-0.6B,model.layers.0.self_attn.v_proj,True,0.008357635699212551,1024,triton_selected,64,0.6353593294280561,0.4465756188688745
64,8,,,,1024,0.027552675000208637,0.013382337500189578,256,0.027552675000208637,0,Qwen/Qwen3-0.6B,model.layers.0.self_attn.v_proj,True,0.0,1024,dense_full,256,1.0,0.48570011804981705
64,8,,,,1024,0.027552675000208637,0.013382337500189578,256,0.013382337500189578,0,Qwen/Qwen3-0.6B,model.layers.0.self_attn.v_proj,True,0.0,1024,dense_selected,256,2.0588835844125377,1.0
64,8,,,,1024,0.027552675000208637,0.013382337500189578,256,0.011518787500008898,0,Qwen/Qwen3-0.6B,model.layers.0.self_attn.v_proj,True,0.008435698226094246,1024,cached_selected,256,2.3919770201670403,1.161783521067581
64,8,128,32,16,1024,0.027552675000208637,0.013382337500189578,256,0.03795021250034836,0,Qwen/Qwen3-0.6B,model.layers.0.self_attn.v_proj,True,0.008435763418674469,1024,triton_selected,256,0.7260216263599505,0.35262878962974814
